,Sentence,Sentiment,Translated_Sentence
4961,TeliaSonera has secured deliveries for 4G modems with support for 3G and 2G during the second quarter 2010 .,positive,TeliaSonera telah mengamankan pengiriman modem 4G dengan dukungan 3G dan 2G selama kuartal kedua 2010 .
4962,The previous offer was 3.4 % of voting rights and 12.3 % of capital .,neutral,"Penawaran sebelumnya adalah 3,4% hak suara dan 12,3% modal."
4963,EA Launches Origin Online Game Distribution for Mac http://stks.co/aKTU via MacRumors $EA,positive,EA Luncurkan Origin Online Game Distribution untuk Mac http://stks.co/aKTU via MacRumors $EA
4964,Acquisitions have been made and businesses have been well integrated .,positive,Akuisisi telah dilakukan dan bisnis telah terintegrasi dengan baik.
4965,Expense ratio was 102.6 % compared to 92.9 % in the corresponding period in 2005 .,negative,"Rasio biaya adalah 102,6 % dibandingkan dengan 92,9% pada periode yang sama tahun 2005 ."
4966,"Yara Suomi Ltd also provides nitrogen chemicals and technical nitrates to various sectors of industry , as well as products used in environmental protection .",neutral,"Yara Suomi Ltd juga menyediakan bahan kimia nitrogen dan nitrat teknis untuk berbagai sektor industri, serta produk yang digunakan dalam perlindungan lingkungan."
4967,"ALEXANDRIA , Va. , March 20 -- Patrik Flykt and Timo Alakoski , both of Helsinki , Finland , and Tapio Suihko and Nadarajah Asokan , both of Espoo , Finland , have developed a method of mobility support of Internet-type protocol traffic in a communication system .",neutral,"ALEXANDRIA , Va. , 20 Maret -- Patrik Flykt dan Timo Alakoski , keduanya dari Helsinki , Finlandia , dan Tapio Suihko dan Nadarajah Asokan , keduanya dari Espoo , Finlandia , telah mengembangkan metode dukungan mobilitas lalu lintas protokol tipe Internet dalam suatu komunikasi sistem."
4968,"Proving that good cellphone design is truly a work of art , the website for the Nokia 6131 provides a colorful canvas for the expression of mobile-inspired sentiments .",positive,"Membuktikan bahwa desain ponsel yang bagus benar-benar sebuah karya seni, situs web untuk Nokia 6131 menyediakan kanvas warna-warni untuk ekspresi sentimen yang terinspirasi ponsel."
4969,Equity indexes working on a positive engulfing for March. $SML $RUT $IWC $SMH $SOX  Small-caps / semis with a fakeout before the b/out.,positive,Indeks ekuitas bekerja pada menelan positif untuk bulan Maret. $SML $RUT $IWC $SMH $SOX Kapitalisasi kecil / semifinal dengan fakeout sebelum b/out.
4970,Finnish metal components supplier Componenta Oyj said its net profit went up to 3.5 mln euro $ 4.5 mln in 2006 from 2.2 mln euro $ 2.8 mln in 2005 .,positive,"Pemasok komponen logam Finlandia Componenta Oyj mengatakan laba bersihnya naik menjadi 3,5 juta euro $ 4,5 juta pada tahun 2006 dari 2,2 juta euro $ 2,8 juta pada tahun 2005 ."
4971,The SeaWind that was en route from the Finnish port of Turku to Stockholm got stuck in ice already around 4 p.m. on Wednesday and the Regal Star 's journey from the Swedish port of Kapellskar to Paldiski in northwestern Estonia was cut short at 2 a.m. on Thursday .,neutral,SeaWind yang sedang dalam perjalanan dari pelabuhan Finlandia Turku ke Stockholm sudah terjebak dalam es sekitar jam 4 sore. pada hari Rabu dan perjalanan Regal Star dari pelabuhan Kapellskar Swedia ke Paldiski di barat laut Estonia dipersingkat pada pukul 2 pagi pada hari Kamis.
4972,"AGJ recorded EUR 43 mln sales in 2006 , most of which was generated by exports to customers in Western Europe , the statement said .",neutral,"AGJ mencatat penjualan 43 juta EUR pada tahun 2006, sebagian besar dihasilkan oleh ekspor ke pelanggan di Eropa Barat, kata pernyataan itu."
4973,Alma Media expects its net sales to increase as forecast previously .,positive,Alma Media mengharapkan penjualan bersihnya meningkat seperti yang diperkirakan sebelumnya.
4974,Poyry is recognized as one of the world 's leading advisors to the global forestry industry .,positive,Poyry diakui sebagai salah satu penasihat terkemuka dunia untuk industri kehutanan global.
4975,"Finnish Cargotec 's Kalmar , the business area providing container handling solutions , has been awarded an order for a further ten E-One rubber-tyred gantry RTG cranes from Saigon Newport Company SNP , in Vietnam .",positive,"Kalmar dari Cargotec dari Finlandia, area bisnis yang menyediakan solusi penanganan peti kemas, telah menerima pesanan untuk sepuluh derek RTG gantry berban karet E-One dari Saigon Newport Company SNP, di Vietnam."
4976,$GOOG breakout very likely medium target $700+ http://stks.co/1Lpz http://chart.ly/lgb94rr,positive,$GOOG breakout sangat mungkin target menengah $700+ http://stks.co/1Lpz http://chart.ly/lgb94rr
4977,"26 October 2010 - Finnish environmental management company Lassila & Tikanoja Oyj ( HEL : LAT1V ) , or L&T , said today its net profit declined to EUR20 .9 m for the first nine months of 2010 from EUR27 .6 m for the same period a year earlier .",neutral,"26 Oktober 2010 - Perusahaan pengelolaan lingkungan Finlandia Lassila & Tikanoja Oyj ( HEL : LAT1V ) , atau L&T , mengatakan hari ini laba bersihnya turun menjadi EUR20,9 juta untuk sembilan bulan pertama tahun 2010 dari EUR27,6 juta untuk periode yang sama tahun ini lebih awal ."
4978,"In the Baltic states the company reports net sales of EUR 11.9 mn , down from EUR 14.2 mn , and an operative EBIT of EUR -2.2 mn , down from EUR -1.7 mn .",neutral,"Di negara-negara Baltik, perusahaan melaporkan penjualan bersih sebesar EUR 11,9 juta, turun dari EUR 14,2 juta, dan EBIT operasional sebesar EUR -2,2 juta, turun dari EUR -1,7 juta."
4979,The company said that the fall in turnover had been planned .,neutral,Perusahaan mengatakan bahwa penurunan omset telah direncanakan.
4980,"About 36 % of this came from Aspo Chemicals , 39 % from Aspo Shipping and 25 % from Aspo Systems .",neutral,"Sekitar 36% dari ini berasal dari Aspo Chemicals, 39% dari Aspo Shipping dan 25% dari Aspo Systems."
4981,Earnings per share were higher at 0.48 against 0.37 a year before and ahead of market consensus of 0.40 eur .,positive,"Laba per saham lebih tinggi pada 0,48 melawan 0,37 setahun sebelum dan menjelang konsensus pasar 0,40 eur."
4982,"Luna took fifth place on six-under 207 , a shot behind Spain 's Beatriz Recari and Germany 's Martina Eberl , while Welsh player Becky Brewerton was the highest-placed British finisher , sharing seventh place on three-under 210 after shooting 71 .",neutral,"Luna mengambil tempat kelima dengan enam di bawah 207 , satu tembakan di belakang Beatriz Recari dari Spanyol dan Martina Eberl dari Jerman , sementara pemain Welsh Becky Brewerton adalah finisher Inggris dengan posisi tertinggi , berbagi tempat ketujuh dengan tiga di bawah 210 setelah menembak 71 ."
4983,"The decision of the French Court relates to the claims raised by twenty-one former Aspocomp S.A.S employees , the company said .",neutral,"Keputusan Pengadilan Prancis terkait dengan klaim yang diajukan oleh dua puluh satu mantan karyawan Aspocomp S.A.S, kata perusahaan tersebut."
4984,"Samsung currently occupies third place and lost ground during the quarter , dropping by 1.8 % to an 11.1 % share overall .",neutral,"Samsung saat ini menempati posisi ketiga dan kehilangan posisi selama kuartal tersebut, turun 1,8% menjadi 11,1% secara keseluruhan."
4985,Nokia Siemens Networks has struggled to make a profit in the past two years .,negative,Nokia Siemens Networks telah berjuang untuk mendapatkan keuntungan dalam dua tahun terakhir.
4986,The insurance division turned a EUR120m profit .,neutral,Divisi asuransi menghasilkan keuntungan EUR120 juta.
4987,Net profit in the period in 2009 was ( EURO ) 29 million .,neutral,Laba bersih periode 2009 adalah ( EURO ) 29 juta .
4988,CapMan made its initial investment in OneMed in June 2006 .,neutral,CapMan melakukan investasi awal di OneMed pada bulan Juni 2006 .
4989,"On the following workday customers can check from their home computers how their purchases are divided between different ingredient groups , how much energy various products contain and what is the nutritional content of all purchases .",neutral,"Pada hari kerja berikutnya pelanggan dapat memeriksa dari komputer rumah mereka bagaimana pembelian mereka dibagi antara kelompok bahan yang berbeda, berapa banyak energi yang terkandung dalam berbagai produk dan apa kandungan nutrisi dari semua pembelian."
4990,Okmetic has used the furnaces for the contract manufacturing of solar crystals .,neutral,Okmetic telah menggunakan tungku untuk kontrak pembuatan kristal surya.
4991,"Nevertheless , the development can not be allowed to ruin the print newspaper , which continues to be Sanoma News ' main medium .",neutral,"Meski demikian, perkembangan tersebut tidak bisa dibiarkan merusak surat kabar cetak yang terus menjadi media utama Sanoma News."
4992,"ADP News - Apr 22 , 2009 - Finnish business information systems developer Solteq Oyj HEL : STQ1V said today its net loss widened to EUR 189,000 USD 245,000 for the first quarter of 2009 from EUR 10,000 for the same peri",negative,ADP News - 22 Apr 2009 - Pengembang sistem informasi bisnis Finlandia Solteq Oyj HEL ​​: STQ1V mengatakan hari ini kerugian bersihnya melebar menjadi EUR 189.000 USD 245.000 untuk kuartal pertama 2009 dari EUR 10.000 untuk periode yang sama
4993,Benefon will turn the Salo unit into a B2B business unit and establish a B2C business unit in the UK .,neutral,Benefon akan mengubah unit Salo menjadi unit bisnis B2B dan mendirikan unit bisnis B2C di Inggris.
4994,Results are expected late in 2006 .,neutral,Hasil diharapkan pada akhir tahun 2006 .
4995,"$GILD Sandbagged the guidance so the can use that last 3 billion up.  CC was cautiously optimistic, wait til Next ER for confirmation",neutral,"$GILD Sandbagged panduan sehingga dapat menggunakan 3 miliar terakhir itu. CC optimis dengan hati-hati, tunggu sampai ER Berikutnya untuk konfirmasi"
4996,fi is developing cooperation in keyword advertising with Microsoft .,positive,fi sedang mengembangkan kerjasama dalam periklanan kata kunci dengan Microsoft.
4997,"The contract value amounts to about EUR11m , the company added .",neutral,"Nilai kontrak berjumlah sekitar EUR11m, perusahaan menambahkan."
4998,"Kalnapilio-Tauro Grupe ( Kalnapilis-Tauras Group ) , which is owned by Denmark 's Royal Unibrew , raised its market share to 25.2 percent from 23.91 percent , as beer sales for the nine months jumped by 11.4 percent to 52.99 million liters .",positive,"Kalnapilio-Tauro Grupe (Kalnapilis-Tauras Group), yang dimiliki oleh Royal Unibrew Denmark, meningkatkan pangsa pasarnya menjadi 25,2 persen dari 23,91 persen, karena penjualan bir selama sembilan bulan melonjak 11,4 persen menjadi 52,99 juta liter."
4999,"A total of 185 Wonderware Certified SIs are available to integrate and support Wonderware products such as InTouch -« HMI software , IndustrialSQL Server historian , Wonderware Information Server , DT Analyst software or QI Analyst SPC software .",neutral,"Sebanyak 185 SI Bersertifikat Wonderware tersedia untuk mengintegrasikan dan mendukung produk Wonderware seperti perangkat lunak InTouch-« HMI, sejarawan IndustrialSQL Server, Server Informasi Wonderware, perangkat lunak DT Analyst, atau perangkat lunak QI Analyst SPC."
5000,Timo Penttila has been appointed new manager responsible for the asset management of Nordea 's institutional customers in Finland .,neutral,Timo Penttila telah ditunjuk sebagai manajer baru yang bertanggung jawab atas pengelolaan aset pelanggan institusional Nordea di Finlandia.
5001,"The company 's goal is to achieve annual savings of EUR 2 million ( USD 2.7 m ) , of which two thirds are to be realized in 2010 .",positive,"Tujuan perusahaan adalah untuk mencapai penghematan tahunan sebesar EUR 2 juta ( USD 2,7 juta ) , yang dua pertiganya akan direalisasikan pada tahun 2010 ."
5002,"The company offers payroll services , including payroll processing , payroll tax administration , and employee pay services , including direct deposit , check signing , and Readychex .",neutral,"Perusahaan ini menawarkan layanan penggajian , termasuk pemrosesan penggajian , administrasi pajak penggajian , dan layanan pembayaran karyawan , termasuk setoran langsung , penandatanganan cek , dan Readychex ."
5003,"In China , Finnish Kone that provides elevators , escalators , and solutions for modernisation and maintenance will build 342 escalators that will be installed in a high-speed railway section between Beijing and Shanghai in a 1.5 years ' time .",positive,"Di Cina, Kone Finlandia yang menyediakan elevator, eskalator, dan solusi untuk modernisasi dan pemeliharaan akan membangun 342 eskalator yang akan dipasang di jalur kereta api berkecepatan tinggi antara Beijing dan Shanghai dalam waktu 1,5 tahun."
5004,"FinancialWire ( tm ) , in cooperation with the Investrend Broadcast Syndicate , also provides complete , daily conference call and webcast schedules as a service to shareholders and investors via the FirstAlert ( tm ) Networks oeFirstAlert ( tm ) Daily .",neutral,"FinancialWire ( tm ) , bekerja sama dengan Investrend Broadcast Syndicate , juga menyediakan panggilan konferensi harian dan jadwal webcast yang lengkap sebagai layanan kepada pemegang saham dan investor melalui Jaringan FirstAlert ( tm ) oeFirstAlert ( tm ) Daily ."
5005,Return on investment was 16.6 % compared to 15.8 % in 2004 .,positive,"Pengembalian investasi adalah 16,6 % dibandingkan dengan 15,8 % pada tahun 2004 ."
5006,"The OMX Helsinki 25 ended 0.47 pct lower at 3,150.55 and the OMX Helsinki was down 0.21 pct at 10,736.42 on 1.523 bln eur turnover .",negative,"OMX Helsinki 25 berakhir 0,47 persen lebih rendah pada 3.150,55 dan OMX Helsinki turun 0,21 persen pada 10.736,42 pada omset 1,523 miliar euro."
5007,"The decision of Tekes was based on , among other , the following grounds : the project has a significant impact on the business development of the company .",neutral,Keputusan Tekes tersebut antara lain didasarkan pada alasan berikut: proyek tersebut berdampak signifikan terhadap perkembangan bisnis perusahaan.
5008,STUK today is a full service house expert in radiation and nuclear safety issues .,neutral,STUK hari ini adalah ahli rumah layanan penuh dalam masalah radiasi dan keselamatan nuklir.
5009,"In April 2005 , Neste separated from its parent company , Finnish energy company Fortum , and became listed on the Helsinki Stock Exchange .",neutral,"Pada April 2005, Neste berpisah dari perusahaan induknya, perusahaan energi Finlandia Fortum, dan terdaftar di Bursa Efek Helsinki."
5010,"Finnish Bank of +àland reports operating profit of EUR 2.2 mn in the first quarter of 2010 , down from EUR 6.3 mn in the corresponding period in 2009 .",neutral,"Finnish Bank of +àland melaporkan laba operasional sebesar EUR 2,2 juta pada kuartal pertama tahun 2010 , turun dari EUR 6,3 juta pada periode yang sama di tahun 2009 ."
5011,Nordea Group 's operating profit increased in 2010 by 18 percent year-on-year to 3.64 billion euros and total revenue by 3 percent to 9.33 billion euros .,positive,"Laba operasi Nordea Group meningkat pada 2010 sebesar 18 persen tahun-ke-tahun menjadi 3,64 miliar euro dan total pendapatan sebesar 3 persen menjadi 9,33 miliar euro."
5012,Looking for a strong bounce $SPY -- Lunchtime rally coming. $DIA $IWM $QQQ $AA $FB,positive,Mencari bouncing yang kuat $SPY -- Reli makan siang akan datang. $DIA $IWM $QQQ $AA $FB
5013,`` Fixed Mobile Convergence solutions represent a key value proposition in today 's communication market .,neutral,`` Solusi Konvergensi Seluler Tetap mewakili proposisi nilai utama di pasar komunikasi saat ini.
5014,"Most of the growth in beer consumption took place in the Far East , Latin America and Africa .",neutral,"Sebagian besar pertumbuhan konsumsi bir terjadi di Timur Jauh, Amerika Latin dan Afrika."
5015,"Qualcomm: 10% Dividend Increase Rewards Patient Investors, The Future Looks Bright https://t.co/TJjVpqhHqD $QCOM",positive,"Qualcomm: Peningkatan Dividen 10% Menghargai Investor yang Sabar, Masa Depan Tampak Cerah https://t.co/TJjVpqhHqD $QCOM"
5016,He is resting comfortably and is looking forward to getting back to work . '',neutral,Dia beristirahat dengan nyaman dan berharap untuk kembali bekerja. ''
5017,"The E7 smartphone will be available for Rs35 ,000 per handset across India , '' Nokia India vice-president & managing director D Shivakumar told reporters .",neutral,"Smartphone E7 akan tersedia dengan harga Rs35.000 per handset di seluruh India,'' kata wakil presiden & direktur pelaksana Nokia India D Shivakumar kepada wartawan."
5018,Stockmann was established in 1862 in Finland and it became the first foreign company to enter Russia 's retail trade market in 1989 .,neutral,Stockmann didirikan pada tahun 1862 di Finlandia dan menjadi perusahaan asing pertama yang memasuki pasar perdagangan ritel Rusia pada tahun 1989 .
5019,"Operating loss totalled EUR 0.3 mn , down from a profit of EUR 5.1 mn in the first half of 2009 .",negative,"Kerugian operasional mencapai EUR 0,3 juta , turun dari laba EUR 5,1 juta pada paruh pertama 2009 ."
5020,"Operating profit totalled EUR 9.0 mn , down from EUR 9.7 mn in the first half of 2008 .",neutral,"Laba operasional mencapai EUR 9,0 juta , turun dari EUR 9,7 juta pada paruh pertama tahun 2008 ."
5021,$RNN More bleeding Monday.,negative,$RNN Lebih banyak pendarahan Senin.
5022,"Nordstjernan will make the offer in approximately one month , in September 2007 .",neutral,"Nordstjernan akan melakukan penawaran dalam waktu kurang lebih satu bulan , pada bulan September 2007 ."
5023,"So Mr. Galvan made savings adjustments of his own , buying less liquor and watching portion sizes .",neutral,"Jadi Pak Galvan membuat penyesuaian tabungan sendiri, membeli lebih sedikit minuman keras dan memperhatikan ukuran porsi."
5024,"The parties have agreed not to disclose the price of the deal , the group said in a press release .",neutral,"Para pihak telah sepakat untuk tidak mengungkapkan harga kesepakatan, kata kelompok itu dalam siaran pers."
5025,"ALEXANDRIA , Va. , March 15 -- Jaakko Vilo of Turku , Finland , has developed a panel press .",neutral,"ALEXANDRIA, Va., 15 Maret -- Jaakko Vilo dari Turku, Finlandia, telah mengembangkan pers panel."
5026,"Liquid handling products include electronic and mechanical pipettes , disposable tips as well as pipette maintenance and calibration services for research institutions , healthcare and industrial laboratories .",neutral,"Produk penanganan cairan meliputi pipet elektronik dan mekanik, tip sekali pakai serta layanan pemeliharaan dan kalibrasi pipet untuk lembaga penelitian, kesehatan, dan laboratorium industri."
5027,Antniemi refuted a report by the Finnish daily Turun Sanomat as if the company was reorganizing its operations in the Baltic countries .,neutral,Antniemi membantah laporan harian Finlandia Turun Sanomat seolah - olah perusahaan itu sedang menata ulang operasinya di negara - negara Baltik .
5028,"PNC, Goldman Sachs Receive Dividend Hike Green Light (But Don't Act): http://stks.co/2pa7 $PNC $GS",positive,"PNC, Goldman Sachs Menerima Lampu Hijau Kenaikan Dividen (Tapi Jangan Bertindak): http://stks.co/2pa7 $PNC $GS"
5029,"Following the payment made in April , the company has a total of EUR 23.0 million in loans from financial institutions .",neutral,"Setelah pembayaran dilakukan pada bulan April, perusahaan memiliki total pinjaman sebesar EUR 23,0 juta dari lembaga keuangan."
5030,"These companies own a 20,000 sq. m. office and commercial building and substantial amount of building right for a new shopping center in Liljeholmen , Stockholm .",neutral,"Perusahaan-perusahaan ini memiliki 20.000 meter persegi. kantor dan bangunan komersial dan sejumlah besar bangunan tepat untuk pusat perbelanjaan baru di Liljeholmen , Stockholm ."
5031,Profit for the period increased from EUR 2.9 mn to EUR 10.5 mn .,positive,"Laba untuk periode tersebut meningkat dari EUR 2,9 juta menjadi EUR 10,5 juta."
5032,"$QIHU totally missed this one, was about to jump in on that 60 break test but didn't, congrats shorts",negative,"$QIHU benar-benar melewatkan yang satu ini, akan mengikuti tes istirahat 60 itu tetapi tidak, selamat celana pendek"
5033,"The utility will also provide services related to electricity management , such as hedging trades and risk management and reporting .",neutral,"Utilitas juga akan menyediakan layanan yang berkaitan dengan manajemen listrik, seperti perdagangan lindung nilai dan manajemen risiko dan pelaporan."
5034,"$KO had missed earnings expectations for the last two quarters, so today’s strong results came as a major surprise http://stks.co/d0RHF",positive,"$KO telah meleset dari ekspektasi pendapatan untuk dua kuartal terakhir, jadi hasil kuat hari ini datang sebagai kejutan besar http://stks.co/d0RHF"
5035,Latvia 's Stockmann shopping mall is a subsidiary of Finland 's Stockmann Plc. .,neutral,Pusat perbelanjaan Stockmann Latvia adalah anak perusahaan dari Stockmann Plc Finlandia. .
5036,"Finnish investment group Neomarkka Oyj ( HEL : NEMBV ) said today that it will buy the former production facilities of Kuitu Finland Ltd , as part of negotiations on the option to invest in specialty cellulose fiber business .",neutral,"Grup investasi Finlandia Neomarkka Oyj ( HEL : NEMBV ) hari ini mengatakan akan membeli bekas fasilitas produksi Kuitu Finland Ltd , sebagai bagian dari negosiasi opsi untuk berinvestasi dalam bisnis serat selulosa khusus ."
5037,"In January-September 2007 , the group 's net sales from continuing operations rose to EUR 213.1 mn from EUR 172.6 mn in the corresponding period in 2006 .",positive,"Pada Januari-September 2007 , penjualan bersih grup dari operasi yang dilanjutkan naik menjadi EUR 213,1 juta dari EUR 172,6 juta pada periode yang sama tahun 2006 ."
5038,"Simultaneously with this merger plan another merger plan has been signed , according to which Suomen Projektivuokraus Oy , a subsidiary of VTM-Rakennuskonevuokraamo Oy , would be merged with VTM-Rakennuskonevuokraamo Oy .",neutral,"Bersamaan dengan rencana merger ini, rencana merger lain telah ditandatangani, yang menurut Suomen Projektivuokraus Oy, anak perusahaan dari VTM-Rakennuskonevuokraamo Oy, akan digabung dengan VTM-Rakennuskonevuokraamo Oy."
5039,"Finnish electronics contract manufacturer Scanfil reports net sales of EUR 58.9 mn in the second quarter of 2007 , down from EUR 62.4 mn a year earlier .",neutral,"Produsen kontrak elektronik Finlandia Scanfil melaporkan penjualan bersih sebesar EUR 58,9 juta pada kuartal kedua tahun 2007, turun dari EUR 62,4 juta pada tahun sebelumnya."
5040,"`` Beyond the improved voice capabilities , customers now have a streamlined way to comply with recalls and other traceability requirements , providing them with a competitive advantage .",positive,"`` Di luar peningkatan kemampuan suara, pelanggan kini memiliki cara yang efisien untuk mematuhi penarikan dan persyaratan ketertelusuran lainnya, memberikan mereka keunggulan kompetitif."
5041,CORRECTED-Shire to buy Dyax for about $5.9 bln,positive,"DIPERBAIKI-Shire untuk membeli Dyax sekitar $5,9 miliar"
5042,"It also includes the installation of new equipment , training and start-up services , as well as service work of the shoe press delivered by Vaahto in 2001 .",neutral,"Ini juga mencakup pemasangan peralatan baru , pelatihan dan layanan awal , serta pekerjaan layanan mesin press sepatu yang disampaikan oleh Vaahto pada tahun 2001 ."
5043,Nokia is also negotiating the product portfolio of the new company .,neutral,Nokia juga sedang merundingkan portofolio produk dari perusahaan baru tersebut.
5044,Glencore slumps 30 percent as debt fears grow,negative,Glencore merosot 30 persen karena kekhawatiran utang tumbuh
5045,The value of the order is EUR 4mn .,neutral,Nilai pesanan adalah EUR 4mn .
5046,The company said that it has agreed to a EUR160m unsecured credit line from lenders .,neutral,Perusahaan mengatakan bahwa mereka telah menyetujui batas kredit tanpa jaminan EUR160m dari pemberi pinjaman.
5047,"The agreement , which will cover monitoring , maintenance , server capacity service and backups , has a one-year extension option .",neutral,"Perjanjian tersebut, yang akan mencakup pemantauan, pemeliharaan, layanan kapasitas server, dan pencadangan, memiliki opsi perpanjangan satu tahun."
5048,$BBRY Sierra. Has a great cash balance and impressive growth rate.Would be a wonderful marriage!,positive,$BBRY Sierra. Memiliki saldo kas yang besar dan tingkat pertumbuhan yang mengesankan. Akan menjadi pernikahan yang luar biasa!
5049,"Profit after taxes for the period was up to EUR0 .9 m , from EUR0 .01 m last year .",positive,"Laba setelah pajak untuk periode tersebut naik menjadi EUR0,9 juta, dari EUR0,01 juta tahun lalu."
5050,"Oka specialises in new construction , renovation work of residential and non-residential building as well as premises for industrial and logistical use .",neutral,"Oka mengkhususkan diri dalam konstruksi baru, pekerjaan renovasi bangunan perumahan dan non-perumahan serta bangunan untuk keperluan industri dan logistik."
5051,"Neste Oil s refineries have a combined crude oil refining capacity of approximately 260,000 barrels a day .",neutral,Kilang Neste Oil memiliki kapasitas penyulingan minyak mentah gabungan sekitar 260.000 barel per hari.
5052,The net sales decreased to EUR 49.8 million from EUR 59.9 million .,neutral,"Penjualan bersih turun menjadi EUR 49,8 juta dari EUR 59,9 juta."
5053,"In 2007 , Etteplan had turnover of EUR125 .2 m.",neutral,"Pada tahun 2007, Etteplan memiliki omset EUR125,2 m."
5054,Pretax profit rose to EUR 0.6 mn from EUR 0.4 mn in the corresponding period in 2005 .,positive,"Laba sebelum pajak naik menjadi EUR 0,6 juta dari EUR 0,4 juta pada periode yang sama di tahun 2005 ."
5055,"Net sales of Finnish Sanoma Learning & Literature , of Finnish media group Sanoma , decreased by 3.6 % in January-June 2009 totalling EUR 162.8 mn , down from EUR 168.8 mn in the corresponding period in 2008 .",neutral,"Penjualan bersih Finnish Sanoma Learning & Literature , dari grup media Finlandia Sanoma , turun 3,6 % pada Januari-Juni 2009 dengan total EUR 162,8 juta , turun dari EUR 168,8 juta pada periode yang sama tahun 2008 ."
5056,The size of a cider bottle will remain unchanged .,neutral,Ukuran botol sari buah apel akan tetap tidak berubah.
5057,Finlan 's listed food industry company HKScan Group controlled companies in the Baltics improved revenues by EUR 3.5 mn to EUR 160.4 mn in 2010 from EUR 156.9 mn in the year before .,positive,"Perusahaan industri makanan terdaftar di Finlan, HKScan Group, mengendalikan perusahaan di Baltik, meningkatkan pendapatan sebesar EUR 3,5 juta menjadi EUR 160,4 juta pada tahun 2010 dari EUR 156,9 juta pada tahun sebelumnya."
5058,Revenue in the quarter fell 8 percent to ( EURO ) 2.4 billion compared to a year earlier .,negative,"Pendapatan pada kuartal tersebut turun 8 persen menjadi ( EURO ) 2,4 miliar dibandingkan tahun sebelumnya ."
5059,EBIT excluding non-recurring items was estimated to increase from 2009 .,positive,EBIT tidak termasuk item yang tidak berulang diperkirakan meningkat dari tahun 2009 .
5060,What we think ?,neutral,Apa yang kita pikirkan?
5061,Keith Skeoch to step up as David Nish quits as chief executive of Standard Life,neutral,Keith Skeoch untuk melangkah ketika David Nish berhenti sebagai kepala eksekutif Standard Life
5062,"The upgrade is intended to raise the network capacity from 450 MHz to 630 MHz in several cities , enabling bi-directional services for digital television as well as broadband data .",positive,"Peningkatan ini dimaksudkan untuk meningkatkan kapasitas jaringan dari 450 MHz menjadi 630 MHz di beberapa kota, memungkinkan layanan dua arah untuk televisi digital serta data broadband."
5063,No financial details were provided .,neutral,Tidak ada rincian keuangan yang diberikan.
5064,Tesco share price tumbles after negative broker note,negative,Harga saham Tesco jatuh setelah catatan broker negatif
5065,"According to Finnish L+ñnnen Tehtaat 's CEO Matti Karppinen , now that L+ñnnen Tehtaat has sold the majority of its feed and grain business , it will quickly start to look for acquisitions .",neutral,"Menurut CEO Finlandia L+ñnnen Tehtaat Matti Karppinen , sekarang L+ñnnen Tehtaat telah menjual sebagian besar bisnis pakan dan biji - bijiannya , ia akan segera mulai mencari akuisisi ."
5066,"Finnish IT consultancy Satama Interactive Oyj said on November 13 , 2006 that Jarmo Lonnfors took up the position of CEO .",neutral,Konsultan IT Finlandia Satama Interactive Oyj mengatakan pada 13 November 2006 bahwa Jarmo Lonnfors mengambil posisi CEO.
5067,"According to the company , the lay-offs will be temporary .",neutral,"Menurut perusahaan, pemutusan hubungan kerja itu bersifat sementara."
5068,"Cargo traffic fell 1 % year-on-year to 8,561 tonnes in September 2009 .",neutral,Lalu lintas kargo turun 1% tahun-ke-tahun menjadi 8.561 ton pada September 2009 .
5069,Rihko started to manage Raisio 's Benecol business in summer 2006 after heading tobacco company Altadis ' European operations .,neutral,Rihko mulai mengelola bisnis Benecol milik Raisio pada musim panas 2006 setelah memimpin operasi perusahaan tembakau Altadis di Eropa.
5070,The Financial Statements and Interim Reports will be released around at 9.00 a.m. ( Finnish time ) on the given dates .,neutral,Laporan Keuangan dan Laporan Interim akan dirilis sekitar pukul 9.00 (waktu Finlandia) pada tanggal yang ditentukan.
5071,"The company was supposed to deliver machinery to a veneer mill in the Tomsk region , in Russia .",neutral,"Perusahaan itu seharusnya mengirimkan mesin ke pabrik veneer di wilayah Tomsk, di Rusia."
5072,"In the building and home improvement trade , net sales totalled EUR 1,173 mn , down from EUR 1,566 mn a year earlier .",negative,"Dalam perdagangan bangunan dan perbaikan rumah , penjualan bersih mencapai EUR 1.173 juta , turun dari EUR 1.566 juta tahun sebelumnya ."
5073,"The talks involved the Food and Ingredients Divisions , as well as group service functions , the company said .",neutral,"Pembicaraan itu melibatkan Divisi Makanan dan Bahan, serta fungsi layanan kelompok, kata perusahaan itu."
5074,Lloyds Banking Group's share price lifts amid reports bank is poised to axe hundreds of UK jobs,positive,Harga saham Lloyds Banking Group terangkat di tengah laporan bahwa bank siap untuk memangkas ratusan pekerjaan di Inggris
5075,"Outokumpu of Finland , stainless steel manufacturer , plans to enter into a supply agreement with the Indian Railways .",positive,"Outokumpu dari Finlandia, produsen baja tahan karat, berencana untuk menandatangani perjanjian pasokan dengan Kereta Api India."
5076,Shire share price under pressure after $32bn Baxalta deal,negative,Harga saham Shire di bawah tekanan setelah kesepakatan Baxalta senilai $32 miliar
5077,"However , he expects banks to provide alternative financing .",positive,"Namun, dia berharap perbankan bisa memberikan alternatif pembiayaan."
5078,"It would be premature to talk about dates , volume and the investment procedure , '' he said .",neutral,"Terlalu dini untuk membicarakan tanggal, volume dan prosedur investasi,'' katanya."
